APPENDIX C - BAZARCALL: 96 EXAMPLES OF SPREADSHEETS DOWNLOADED FROM FAKE WEBSITE UNSUBSCRIBE PAGES IN MARCH AND APRIL 2021:

(READ: SHA256 HASH  FILE NAME)

01fe11c86a69bca1d91f1d6f3aa776bd7871c57973e6f98915f60dd514ddd913  subscription_1618608166.xlsb
056809e596895320397378f7f3ff4958107e48f4890a960229dcfbc32b7379b7  subscription_1616167805.xlsb
0606be9a1e3e32dc452cdd0ee48c3cecdb045545fa01789f580c197cefd220a4  subscription_1616167935.xlsb
06c38b4c73015d04536d80262bb531183bead459371dd6db86a40dfccbdf236a  subscription_1616432871.xlsb
0e266ef60c8059c2c828de3e77fd68a49e50626d7b0d4d659afd03806247d5bc  subscription_1616604798.xlsb
13141db5db00c63f5f7a2cd33f35d9236956f9ae7767725564693dbab6b14f10  subscription_1616168107.xlsb
151308d22127e12066636627acb269e6ac71aa99cca1ac9dd00b582de3b5e0cd  subscription_1616182255.xlsb
15a1cd485f5b09fa05c46ec81d7eaaaa1e71bfd3b19e3465f555704dbfadce31  subscription_1616433750.xlsb
1681ae715209131c86f885453e3abd627de1edab974294b73789dfd396d2793e  subscription_1616433570.xlsb
16bfc0c0fcb0ccb6bb27cdc4178d08538c0b18c146d93a3a44be5fb15d8d43cb  subscription_1616607017.xlsb
1c293c65680d01a8503c477f7d8f46cfbc62ce4fa6e507a4c0ae7436f33efa08  subscription_1616182543.xlsb
204ddd2c357d7d5a5d30761f2da8363a3d26e1717e90ccc69b00b7be456f4092  subscription_1616539721.xlsb
20cd67833a009771483fed52ad8450d1614df7843715eb67250dd605780d1e8b  subscription_1616602183.xlsb
227b402fe1ad5c40edd6385590dd22add3e493be6c90c813786a1d2a92c5508b  subscription_1616606901.xlsb
27cbaa0a743ded5ed298ba18bb2bca3c9cf605a9d75f7168ea7cc00ac54687b2  subscription_1616189539.xlsb
2ae9a949242e7691ea1df0475a0f266118dc382fd27350b575473d9da9d9fc1f  subscription_1616609007.xlsb
2c9787310c6307f1d169c5dff44455a52a5da01681b45f6ad9c382334c431400  subscription_1616182727.xlsb
2fcc02b25bfccda87b03b1149eeb22379abb5b00f2ea474151979f87ee6a8289  subscription_1616608070.xlsb
3369c4b31d3b5904783ee651d94d78995aa8ac2d6d4b52bc455c17c75845efbd  subscription_1616605673.xlsb
391c2301f9c1b27b489b78bac987e2e61e7923da1342941f3f52618e2d1ee1f8  subscription_1616610172.xlsb
39e79fa4dffb5d3c4099ccd77f9a889a7a0179948862790aeba79c69ffeb8582  subscription_1616165829.xlsb
3a274a44ca7e8c943f9a2d1995d97582886d8f9684b7d5c5b51625f9f833d7ec  subscription_1616610082.xlsb
3eda5bc62ee17d2ba137c4253eacfd9f96926ec071eb583777935c084cdcb604  subscription_1616604961.xlsb
403e6317c3ef24bdacd6ff265a5b93cf43361398cba8918af459fb7072fd8ceb  subscription_1616604317.xlsb
413ca9be6e90c35d5e680ea00891976673cd22446ca31c3dc4e678356737d75c  subscription_1616609524.xlsb
43af28b1e4057888f074b01ddce13b6445b530cf70741d3e3bb65a712dc58775  subscription_1616534682.xlsb
461172b3e91e48945f91e7cb507f02d391bee5b2736ab33ef87c4068da99cabf  subscription_1616604158.xlsb
4d1c7b33d3dd2ec8187bf29971a3785a9103a4dbd97cad37d6fd16f4dc761c0a  subscription_1616169268.xlsb
4e58b94d857970b01c70e8fb4c68c99a409c5eb105e286f521325eb209e19a59  subscription_1616608399.xlsb
580436ddf51ed876d2e1547047288b0640bfd7570ffd7a2ef9074b116ad5f823  subscription_1616601474.xlsb
5b6e4db97888c248d70e6a2ecfe4967b5bb3ffba3e73fc04fcc91da8afe37f81  subscription_1616602919.xlsb
5c03e5522fb03bc224b51be1206728e4cfc5ab6b5a45555c455819e8b5006356  subscription_1616600235.xlsb
5c7a7b0b29a2f51eca70e25936b2f88570b44b0aef504d07b208621df0022103  subscription_1616432768.xlsb
5ee9bc24c82ee40e1a9f98aff8e36388ccea92a9423539e13b927291bebede72  subscription_1616609082.xlsb
6529aee58be4346065cf8f5166c49ecd7dbecfeb179092d0ba9ee4fecbbb0f8d  subscription_1616602407.xlsb
67b5ef18a2155a91980d6ecd5ce2fb73242b47921715095565ba5e7d97922aa6  subscription_1616169858.xlsb
683cf783dffa8ce135496f8f5017fc06268c57874ad79267cb52dfc202dfc3bc  subscription_1616604874.xlsb
6d6ff6f138defb2bb7602c08c1cb22930f5e30ef264eeaf760f99d4ca95beca7  subscription_1618592996.xlsb
701ff2df2c26f4ec31eb39074e0f7da97ad9f8e7e0877558571148db64a343cf  subscription_1616433460.xlsb
7235083a31014473c9a538e102efd9b9549ac454f99a5f8b2c36ccfc69045f0c  subscription_1618510398.xlsb
739a35cdd227b78b2a3f49dff22b9185df7b6da1336dccd0c6f552ae0767397c  subscription_1616182677.xlsb
825e158ac8c57cee3a2d12ba062633e7a955e20d438b6b1b89c435181586a0ef  subscription_1616606171.xlsb
8300b9b7de6fd356541b30ed343c00235bf38fbcbe2325ecd4b6f06b2b711f03  subscription_1616607578.xlsb
8a6adc186c65c1db9026fa07e02e813e059a1463fc89b05c4440e2ddb143bd46  subscription_1616610260.xlsb
8a9014b5a7e0975e760ebb41b5d6cac6e76bf1b3b5c2cb0dfebd94e577a6940b  subscription_1616608846.xlsb
8c39b5dd896e4b7163f0c9f27b3ecde4435fa98666cd6e8e1f0a7df73ed757f7  subscription_1617218228.xlsb
8c908237c4354e3f96af0944dc84fd1d503827226f914a5e711f5415b1cec156  subscription_1616183443.xlsb
8ca38418522c7797e0e2fcf8649b3adb64b70f9ad547f7cdc53a55cacacc0b4e  subscription_1616515875.xlsb
931a10977e46a3a1c810c1e3dad558b511a8fc75bd30e2eb3ffe292428f99847  subscription_1616606346.xlsb
94ab1b1ca2123fccd39b956c9216f53ba56c012553281801d4af035dc1644569  subscription_1616608156.xlsb
95330c3095995c4e018936438d2f6da39cd55d29c52438c8042d39118ac81dc9  subscription_1616166862.xlsb
