APPENDIX B

473 file names and associated URLs for fake Flash updates found in AutoFocus:

(Read: Date -- File name -- URL)

2018-03-25 -- AdobeFlashPlayer__bc398dvejj2hod7c.exe -- 52[.]24[.]83[.]191/afplayer/flashplayer_down.php?clickid=bc398dvejj2h
2018-03-27 -- AdobeFlashPlayer__a4a6edvslxohoa27.exe -- 34[.]210[.]36[.]130/afplayer/flashplayer_down.php?clickid=a4a6edvslxo
2018-03-27 -- AdobeFlashPlayer__6f85advduh9qde76.exe -- 34[.]210[.]36[.]130/afplayer/flashplayer_down.php?clickid=6f85advduh9qde76
2018-03-29 -- AdobeFlashPlayer__dfb0cj6b43zsyba5.exe -- 52[.]43[.]59[.]2/afplayer/flashplayer_down.php?clickid=dfb0cj6b43zsyba5
2018-04-05 -- AdobeFlashPlayer__c28d5j6ximy3v24a.exe -- 35[.]162[.]176[.]40/afplayer/flashplayer_down.php?clickid=c28d5j6ximy
2018-04-06 -- AdobeFlashPlayer__22418j6zwbgft21d.exe -- 34[.]218[.]212[.]213/afplayer/flashplayer_down.php?clickid=22418j6zwb
2018-04-06 -- AdobeFlashPlayer__6f3bdj6zwrn3v29a.exe -- 34[.]218[.]212[.]213/afplayer/flashplayer_down.php?clickid=6f3bdj6zwr
2018-04-09 -- AdobeFlashPlayer__fcff29lfyqe145.exe -- 35[.]155[.]223[.]30/afplayer/flashplayer_down.php?clickid=fcff29lfyqe145
2018-04-10 -- AdobeFlashPlayer__a50c7rng6sl287.exe -- 34[.]218[.]220[.]212/afplayer/flashplayer_down.php?clickid=a50c7rng6s
2018-05-09 -- AdobeFlashPlayer__1713bxsk28nf88.exe -- 52[.]41[.]218[.]65/flashplayer_down.php?clickid=1713bxsk28nf88
2018-05-09 -- AdobeFlashPlayer__1135flphoi4d32.exe -- 52[.]41[.]218[.]65/flashplayer_down.php?clickid=1135flphoi4d32
2018-05-10 -- AdobeFlashPlayer__dab387vduqdce5.exe -- 54[.]245[.]203[.]89/flashplayer_down.php?clickid=dab387vduqdce5
2018-05-14 -- AdobeFlashPlayer__3b7bbe2174k9ef.exe -- 54[.]69[.]232[.]2/flashplayer_down.php?clickid=3b7bbe2174k9ef
2018-05-24 -- AdobeFlashPlayer__183ea2t7sj2bl7e5.exe -- 52[.]33[.]55[.]173/flashplayer_down.php?clickid=183ea2t7sj2bl7e5
2018-05-24 -- AdobeFlashPlayer__30a8e2tnthodz048.exe -- 52[.]33[.]55[.]173/flashplayer_down.php?clickid=30a8e2tnthodz048
2018-05-24 -- AdobeFlashPlayer__23ce02t1n7swjeda.exe -- 52[.]33[.]55[.]173/flashplayer_down.php?clickid=23ce02t1n7swjeda
2018-05-24 -- AdobeFlashPlayer__0f1752tuo4k6o489.exe -- 52[.]33[.]55[.]173/flashplayer_down.php?clickid=0f1752tuo4k6o489
2018-05-25 -- AdobeFlashPlayer__d254cq51n156o7d7.exe -- 54[.]203[.]144[.]96/flashplayer_down.php?clickid=d254cq51n156o7d7
2018-05-25 -- AdobeFlashPlayer__575afq5xiib0bbc.exe -- 54[.]203[.]144[.]96/flashplayer_down.php?clickid=575afq5xiib0bbc
2018-05-25 -- AdobeFlashPlayer__e127dq5sya2vr3a5.exe -- 54[.]203[.]144[.]96/flashplayer_down.php?clickid=e127dq5sya2vr3a5
2018-05-25 -- AdobeFlashPlayer__629caxstwusdzdde.exe -- 54[.]203[.]144[.]96/flashplayer_down.php?clickid=629caxstwusdzdde
2018-05-27 -- AdobeFlashPlayer__9d4efqdk2b7i40b8.exe -- 54[.]203[.]35[.]163/flashplayer_down.php?clickid=9d4efqdk2b7i40b8
2018-05-28 -- AdobeFlashPlayer__78f78qdib4pi4c37.exe -- 52[.]38[.]184[.]157/flashplayer_down.php?clickid=78f78qdib4pi4c37
2018-05-28 -- AdobeFlashPlayer__8ed4aqdeja03y7d2.exe -- 52[.]38[.]184[.]157/flashplayer_down.php?clickid=8ed4aqdeja03y7d2
2018-05-28 -- AdobeFlashPlayer__2ac70gm8rftbl104.exe -- 52[.]38[.]184[.]157/flashplayer_down.php?clickid=2ac70gm8rftbl104
2018-05-28 -- AdobeFlashPlayer__ab819gmc8fv09d8.exe -- 50[.]112[.]237[.]117/flashplayer_down.php?clickid=ab819gmc8fv09d8
2018-05-28 -- AdobeFlashPlayer__175dbgmsl9z008c.exe -- 50[.]112[.]237[.]117/flashplayer_down.php?clickid=175dbgmsl9z008c
2018-05-29 -- AdobeFlashPlayer__d848dtwj2xrbl181.exe -- 54[.]203[.]39[.]92/flashplayer_down.php?clickid=d848dtwj2xrbl181
2018-05-30 -- AdobeFlashPlayer__69abfb4k2153y8b5.exe -- 35[.]167[.]128[.]97/flashplayer_down.php?clickid=69abfb4k2153y8b5
2018-05-30 -- AdobeFlashPlayer__78d0airbzx98neb5.exe -- 35[.]167[.]128[.]97/flashplayer_down.php?clickid=78d0airbzx98neb5
2018-05-30 -- AdobeFlashPlayer__f83fagha3a78n110.exe -- 35[.]167[.]128[.]97/flashplayer_down.php?clickid=f83fagha3a78n110
2018-05-30 -- AdobeFlashPlayer__d3bc08ptwej6o030.exe -- 35[.]167[.]128[.]97/flashplayer_down.php?clickid=d3bc08ptwej6o030
2018-05-31 -- AdobeFlashPlayer__906c7xoa5a400d0.exe -- 35[.]167[.]128[.]97/flashplayer_down.php?clickid=906c7xoa5a400d0
2018-05-31 -- AdobeFlashPlayer__61239 pm37283.exe -- 52[.]4[.]45[.]239/flashplayer_down.php?clickid=61239pm37283
2018-05-31 -- AdobeFlashPlayer__bd10bqqrn8nb8e.exe -- 34[.]237[.]230[.]16/flashplayer_down.php?clickid=bd10bqqrn8nb8e
2018-06-03 -- AdobeFlashPlayer__c3e365mtlci2ca.exe -- 52[.]203[.]95[.]223/flashplayer_down.php?clickid=c3e365mtlci2ca
2018-06-04 -- AdobeFlashPlayer__531e5j6gh4k499.exe -- 52[.]203[.]95[.]223/flashplayer_down.php?clickid=531e5j6gh4k499
2018-06-04 -- AdobeFlashPlayer__cc4b1zwu3qd11b.exe -- 52[.]203[.]95[.]223/flashplayer_down.php?clickid=cc4b1zwu3qd11b
2018-06-05 -- AdobeFlashPlayer__6cdf2gxfvhq8n6a3.exe -- 54[.]84[.]72[.]36/flashplayer_down.php?clickid=6cdf2gxfvhq8n6a3
2018-06-05 -- AdobeFlashPlayer__f2393gxfyb43yad2.exe -- 54[.]84[.]72[.]36/flashplayer_down.php?clickid=f2393gxfyb43yad2
2018-06-05 -- AdobeFlashPlayer__f226f17usocdzd37.exe -- 54[.]84[.]72[.]36/flashplayer_down.php?clickid=f226f17usocdzd37
2018-06-05 -- AdobeFlashPlayer__a018817lpxrwj8c0.exe -- 34[.]206[.]190[.]145/flashplayer_down.php?clickid=a018817lpxrwj8c0
2018-06-05 -- AdobeFlashPlayer__95447h9du463y45f.exe -- 54[.]204[.]60[.]212/flashplayer_down.php?clickid=95447h9du463y45f
2018-06-06 -- AdobeFlashPlayer__9d864fnqdx9085f.exe -- 54[.]204[.]60[.]212/flashplayer_down.php?clickid=9d864fnqdx9085f
2018-06-06 -- AdobeFlashPlayer__e476dfn8pzwwjb58.exe -- 54[.]204[.]60[.]212/flashplayer_down.php?clickid=e476dfn8pzwwjb58
2018-06-07 -- AdobeFlashPlayer__53c98ojm7a9i4d78.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=53c98ojm7a9i4d78
2018-06-07 -- AdobeFlashPlayer__1e9eeojc8gmdzd93.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=1e9eeojc8gmdzd93
2018-06-07 -- AdobeFlashPlayer__3c472oje8 pmvra14.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=3c472oje8 pmvra14
2018-06-07 -- AdobeFlashPlayer__68ee216a34k02b8.exe -- allstarchannel100[.]tk/flashplayer_down.php?clickid=68ee216a34k02b8
2018-06-07 -- AdobeFlashPlayer__6fd9016a7a7wjcde.exe -- allstarchannel100[.]tk/flashplayer_down.php?clickid=6fd9016a7a7wjcde
2018-06-07 -- AdobeFlashPlayer__574a516a8ntfee92.exe -- allstarchannel100[.]tk/flashplayer_down.php?clickid=574a516a8ntfee92
2018-06-07 -- AdobeFlashPlayer__76c9f16xrqqdze1a.exe -- allstarchannel100[.]tk/flashplayer_down.php?clickid=76c9f16xrqqdze1a
2018-06-07 -- AdobeFlashPlayer__edb94522tibbl632.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=edb94522tibbl632
2018-06-07 -- AdobeFlashPlayer__472bf52hqvcbldfd.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=472bf52hqvcbldfd
2018-06-07 -- AdobeFlashPlayer__298a5521mxs8n9ef.exe -- 54[.]173[.]102[.]210/flashplayer_down.php?clickid=298a5521mxs8n9ef
2018-06-07 -- AdobeFlashPlayer__62c2152duiri4be9.exe -- 52.73.163.223/flashplayer_down.php?clickid=62c2152duiri4be9
2018-06-07 -- AdobeFlashPlayer__47809qd4k2tbl24f.exe -- 52.73.163.223/flashplayer_down.php?clickid=47809qd4k2tbl24f
2018-06-07 -- AdobeFlashPlayer__350fdgma7ydvr205.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=350fdgma7ydvr205
2018-06-08 -- AdobeFlashPlayer__e2f0dgmwh3zdz2ec.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=e2f0dgmwh3zdz2ec
2018-06-08 -- AdobeFlashPlayer__26662gmslxoi4508.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=26662gmslxoi4508
2018-06-08 -- AdobeFlashPlayer__7277blp4ka1vr02b.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=7277blp4ka1vr02b
2018-06-08 -- AdobeFlashPlayer__45c28lpqnj2i480a.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=45c28lpqnj2i480a
2018-06-08 -- AdobeFlashPlayer__44446u35m5mdz04f.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=44446u35m5mdz04f
2018-06-08 -- AdobeFlashPlayer__fe4dcu3fvmyfe889.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=fe4dcu3fvmyfe889
2018-06-08 -- AdobeFlashPlayer__ec103u3oc176o91e.exe -- 130[.]211[.]172[.]166/flashplayer_down.php?clickid=ec103u3oc176o91e
2018-06-08 -- AdobeFlashPlayer__8047ay9uoa0i4b4e.exe -- 35[.]192[.]136[.]190/flashplayer_down.php?clickid=8047ay9uoa0i4b4e
2018-06-08 -- AdobeFlashPlayer__ec937y9wh pmwjca1.exe -- 35[.]192[.]136[.]190/flashplayer_down.php?clickid=ec937y9wh pmwjca1
2018-06-09 -- AdobeFlashPlayer__03f58wfwhc8wja98.exe -- 35[.]201[.]130[.]136/flashplayer_down.php?clickid=03f58wfwhc8wja98
2018-06-09 -- AdobeFlashPlayer__2d0fcnt179lblb5a.exe -- 35[.]229[.]148[.]33/flashplayer_down.php?clickid=2d0fcnt179lblb5a
2018-06-09 -- AdobeFlashPlayer__031c1nt7vx9wj734.exe -- 35[.]229[.]148[.]33/flashplayer_down.php?clickid=031c1nt7vx9wj734
2018-06-09 -- AdobeFlashPlayer__c051antduxi6o561.exe -- 104[.]199[.]179[.]174/flashplayer_down.php?clickid=c051antduxi6o561
2018-06-09 -- AdobeFlashPlayer__bdc0eira2qd0b3c.exe -- 104[.]199[.]179[.]174/flashplayer_down.php?clickid=bdc0eira2qd0b3c
2018-06-09 -- AdobeFlashPlayer__b7757ghxrhovr417.exe -- 104[.]199[.]179[.]174/flashplayer_down.php?clickid=b7757ghxrhovr417
2018-06-09 -- AdobeFlashPlayer__77c42xoe2lp0df8.exe -- 104[.]199[.]179[.]174/flashplayer_down.php?clickid=77c42xoe2lp0df8
2018-06-09 -- AdobeFlashPlayer__bd9c7xo46sl3y60a.exe -- 104[.]199[.]179[.]174/flashplayer_down.php?clickid=bd9c7xo46sl3y60a
