Type,Indicator,Name
Domain,boeing.servehttp[.]com,
Domain,alsalam.ddns[.]net,
Domain,ngaaksa.ddns[.]net,
Domain,ngaaksa.sytes[.]net,
Domain,vinnellarabia.myftp[.]org,
Domain,managehelpdesk[.]com,
Domain,microsoftupdated[.]com,
Domain,osupd[.]com,
Domain,mywinnetwork.ddns[.]net,
Domain,www.chromup[.]com,
Domain,www.securityupdated[.]com,
Domain,googlmail[.]net,
Domain,microsoftupdated[.]net,
Domain,syn.broadcaster[.]rocks,
Domain,www.googlmail[.]net,
Domain,oorgans[.]com,
Domain,suncocity[.]com,
Domain,zandelshop[.]com,
Domain,simsoshop[.]com,
Domain,zeverco[.]com,
Domain,qualitweb[.]com,
Domain,service-explorer[.]com,
Domain,service-norton[.]com,
Domain,service-eset[.]com,
Domain,service-essential[.]com,
Domain,update-symantec[.]com,
IP,5[.]135[.]120[.]57,
IP,5[.]135[.]199[.]25,
IP,31[.]7[.]62[.]48,
IP,51[.]77[.]11[.]46,
IP,54[.]36[.]73[.]108,
IP,54[.]37[.]48[.]172,
IP,54[.]38[.]124[.]150,
IP,88[.]150[.]221[.]107,
IP,91[.]134[.]203[.]59,
IP,109[.]169[.]89[.]103,
IP,109[.]200[.]24[.]114,
IP,137[.]74[.]80[.]220,
IP,137[.]74[.]157[.]84,
IP,185[.]122[.]56[.]232,
IP,185[.]125[.]204[.]57,
IP,185[.]175[.]138[.]173,
IP,188[.]165[.]119[.]138,
IP,193[.]70[.]71[.]112,
IP,195[.]154[.]41[.]72,
IP,213[.]32[.]113[.]159,
IP,216[.]244[.]93[.]137,
MD5,fb21f3cea1aa051ba2a45e75d46b98b8,DROPSHOT
MD5,0ccc9ec82f1d44c243329014b82d3125,DROPSHOT (drops SHAPESHIFT)
MD5,8e67f4c98754a2373a49eaf53425d79a,DROPSHOT (drops TURNEDUP)
MD5,f5329cf2a829f8840ba6a903f17a1bf,NANOCORE
MD5,10f58774cd52f71cd4438547c39b1aa7,NANOCORE
MD5,663c18cfcedd90a3c91a09478f1e91bc,NETWIRE
MD5,6f1d5c57b3b415edc3767b079999dd50,NETWIRE
MD5,3e8a4d654d5baa99f8913d8e2bd8a184,SHAPESHIFT
MD5,6b41980aa6966dda6c3f68aeeb9ae2e0,SHAPESHIFT
MD5,c57c5529d91cffef3ec8dadf61c5ffb2,TURNEDUP
MD5,c02689449a4ce73ec79a52595ab590f6,TURNEDUP
MD5,59d0d27360c9534d55596891049eb3ef,TURNEDUP
MD5,59d0d27360c9534d55596891049eb3ef,TURNEDUP
MD5,797bc06d3e0f5891591b68885d99b4e1,TURNEDUP
MD5,8e6d5ef3f6912a7c49f8eb6a71e18ee2,TURNEDUP
MD5,32a9a9aa9a81be6186937b99e04ad4be,TURNEDUP
MD5,a272326cb5f0b73eb9a42c9e629a0fd8,TURNEDUP
MD5,a813dd6b81db331f10efaf1173f1da5d,TURNEDUP
MD5,de9e3b4124292b4fba0c5284155fa317,TURNEDUP
MD5,a272326cb5f0b73eb9a42c9e629a0fd8,TURNEDUP
MD5,b3d73364995815d78f6d66101e718837,TURNEDUP
MD5,de7a44518d67b13cda535474ffedf36b,TURNEDUP
MD5,b5f69841bf4e0e96a99aa811b52d0e90,TURNEDUP
MD5,a2af2e6bbb6551ddf09f0a7204b5952e,TURNEDUP
MD5,b189b21aafd206625e6c4e4a42c8ba76,TURNEDUP
MD5,aa63b16b6bf326dd3b4e82ffad4c1338,TURNEDUP
MD5,c55b002ae9db4dbb2992f7ef0fbc86cb,TURNEDUP
MD5,c2d472bdb8b98ed83cc8ded68a79c425,TURNEDUP
MD5,c6f2f502ad268248d6c0087a2538cad0,TURNEDUP
MD5,c66422d3a9ebe5f323d29a7be76bc57a,TURNEDUP
MD5,ae47d53fe8ced620e9969cea58e87d9a,TURNEDUP
MD5,b12faab84e2140dfa5852411c91a3474,TURNEDUP
MD5,c2fbb3ac76b0839e0a744ad8bdddba0e,TURNEDUP
MD5,a80c7ce33769ada7b4d56733d02afbe5,TURNEDUP
MD5,6a0f07e322d3b7bc88e2468f9e4b861b,TURNEDUP
MD5,b681aa600be5e3ca550d4ff4c884dc3d,TURNEDUP
MD5,ae870c46f3b8f44e576ffa1528c3ea37,TURNEDUP
MD5,bbdd6bb2e8827e64cd1a440e05c0d537,TURNEDUP
MD5,0753857710dcf96b950e07df9cdf7911,TURNEDUP
MD5,d01781f1246fd1b64e09170bd6600fe1,TURNEDUP
MD5,1381148d543c0de493b13ba8ca17c14f,TURNEDUP
SHA256,e954ff741baebb173ba45fbcfdea7499d00d8cfa2933b69f6cc0970b294f9ffd,
SHA256,b58a2ef01af65d32ca4ba555bd72931dc68728e6d96d8808afca029b4c75d31e,
SHA256,a67461a0c14fc1528ad83b9bd874f53b7616cfed99656442fb4d9cdd7d09e449,
SHA256,c303454efb21c0bf0df6fb6c2a14e401efeb57c1c574f63cdae74ef74a3b01f2,
SHA256,75e6bafc4fa496b418df0208f12e688b16e7afdb94a7b30e3eca532717beb9ba,
SHA256,8fb6cbf6f6b6a897bf0ee1217dbf738bce7a3000507b89ea30049fd670018b46,
SHA256,ba9d76cca6b5c7308961cfe3739dc1328f3dad9a824417fad73b842b043daa1a,
SHA256,07e1baf1d0207a139bcf39c60354666496e4331381d36eef9359120b1d8497f1,
