Type,Indicator,Name
Domain,akdns[.]live,
Domain,akamaiedge[.]live,
Domain,edgekey[.]live,
Domain,akamaized[.]live,
Domain,0ffice365[.]agency,
Domain,0nedrive[.]agency,
Domain,corewindows[.]agency,
Domain,microsoftonline[.]agency,
Domain,onedrive[.]agency,
Domain,sharepoint[.]agency,
Domain,skydrive[.]agency,
Domain,0ffice365[.]life,
Domain,0ffice365[.]services,
Domain,skydrive[.]services,
Domain,tvs1.trafficmanager[.]live,
Domain,tvs2.trafficmanager[.]live,
Domain,tbs1.microsoftonline[.]services,
Domain,tbs2.microsoftonline[.]services,
Domain,brit.ns.cloudfronts[.]services,
Domain,dns.cloudfronts[.]services,
Domain,ns2.akadns[.]services,
Domain,britns.akadns[.]services,
Domain,britns.akadns[.]live,
Domain,ns2.akadns[.]live,
Domain,iecvlist-microsoft[.]live,
Domain,data-microsoft[.]services,
Domain,asimov-win-microsoft[.]services,
Domain,onecs-live[.]services,
Domain,akamaiedge[.]services,
Domain,phicdn[.]world,
Domain,azureedge[.]today,
Domain,nsatc[.]agency,
Domain,Akamai[.]agency,
Domain,t-msedge[.]world,
Domain,0utl00k[.]net,
Domain,maccaffe[.]com,
Domain,cisc0[.]net,
Domain,msdncss[.]com,
Domain,0ffice[.]com,
Domain,0ffiice[.]com,
Domain,micrrosoft[.]net,
Domain,anyconnect[.]stream,
Domain,bigip[.]stream,
Domain,fortiweb[.]download,
Domain,kaspersky[.]science,
Domain,microtik[.]stream,
Domain,owa365[.]bid,
Domain,symanteclive[.]download,
Domain,windowsdefender[.]win,
Domain,allexa[.]net,
Domain,kaspersky[.]host,
Domain,hotmai1[.]com,
Domain,0utlook[.]bid,
IP,107.175.150[.]113,
IP,195.154.41[.]150,
SHA256,eb33a96726a34dd60b053d3d1048137dffb1bba68a1ad6f56d33f5d6efb12b97,RogueRobin
SHA256,f1b2bc0831445903c0d51b390b1987597009cc0fade009e07d792e8d455f6db0,RogueRobin
SHA256,5cc62ad6baf572dbae925f701526310778f032bb4a54b205bada78b1eb8c479c,RogueRobin
SHA256,cec36e8ed65ac6f250c05b4a17c09f58bb80c19b73169aaf40fa15c8d3a9a6a1,RogueRobin
SHA256,ac7f9c536153780ccbec949f23b86f3d16e3105a5f14bb667df752aa815b0dc4,RogueRobin
SHA256,a547a02eb4fcb8f446da9b50838503de0d46f9bb2fd197c9ff63021243ea6d88,RogueRobin
SHA256,d428d79f58425d831c2ee0a73f04749715e8c4dd30ccd81d92fe17485e6dfcda,RogueRobin
SHA256,dd2625388bb2d2b02b6c10d4ee78f68a918b25ddd712a0862bcf92fa64284ffa,RogueRobin
SHA256,b2571e3b4afbce56da8faa726b726eb465f2e5e5ed74cf3b172b5dd80460ad81,RogueRobin
SHA256,c8b3d4b6acce6b6655e17255ef7a214651b7fc4e43f9964df24556343393a1a3,RogueRobin
SHA256,ce84b3c7986e6a48ca3171e703e7083e769e9ced1bbdd7edf8f3eab7ce20fd00,RogueRobin
SHA256,99541ab28fc3328e25723607df4b0d9ea0a1af31b58e2da07eff9f15c4e6565c,RogueRobin
SHA256,513813af1590bc9edeb91845b454d42bbce6a5e2d43a9b0afa7692e4e500b4c8,Delivery DOC
SHA256,e068c6536bf353abe249ad0464c58fb85d7de25223442dd220d64116dbf1e022,Delivery DOC
SHA256,4e40f80114e5bd44a762f6066a3e56ccdc0d01ab2a18397ea12e0bc5508215b8,Delivery DOC
SHA256,d393349a4ad00902e3d415b622cf27987a0170a786ca3a1f991a521bff645318,Delivery DOC
SHA256,9eac37a5c675cd1750cd50b01fc05085ce0092a19ba97026292a60b11b45bf49,Delivery DOC
SHA256,0b1d5e17443f0896c959d22fa15dadcae5ab083a35b3ff6cb48c7f967649ec82,Delivery DOC
SHA256,8063c3f134f4413b793dfc05f035b6480aa1636996e8ac4b94646292a5f87fde,Delivery DOC
SHA256,cf9b2b40ac621aaf3241ff570bd7a238f6402102c29e4fbba3c5ce0cb8bc25f9,Delivery DOC
SHA256,0a3d5b2a8ed60e0d96d5f0d9d6e00cd6ab882863afbb951f10c395a3d991fbc1,Delivery DOC
SHA256,870c8b29be2b596cc2e33045ec48c80251e668abd736cef9c5449df16cf2d3b8,Delivery DOC
SHA256,ff0b59f23630f4a854448b82f1f0cd66bc4b1124a3f49f0aecaca28309673cb0,Delivery DOC
SHA256,01fd7992aa71f4dca3a3766c438fbabe9aea78ca5812ab75b5371b48bd2625e2,Delivery DOC
SHA256,6dcb3492a45a08127f9816a1b9e195de2bb7e0731c4e7168392d0e8068adae7a,Delivery DOC
SHA256,47b8ad55b66cdcd78d972d6df5338b2e32c91af0a666531baf1621d2786e7870,Delivery DOC
SHA256,776c056096f0e73898723c0807269bc299ae3bbd8e9542f0a1cbba0fd3470cb4,Delivery DOC
SHA256,cf7863e023475d695c6f72c471d314b8b1781c6e9087ff4d70118b30205da5f0,Delivery DOC
SHA256,e88045931b9d99511ce71cc94f2e3d1159581e5eb26d4e05146749e1620dc678,Delivery DOC
SHA256,26e641a9149ff86759c317b57229f59ac48c5968846813cafb3c4e87c774e245,Delivery DOC
SHA256,b5cfaac25d87a6e8ebabc918facce491788863f120371c9d00009d78b6a8c350,Delivery DOC
SHA256,ad3fd1571277c7ce93dfbd58cee3b3bec84eeaf6bb29a279ecb6a656028f771c,Delivery DOC
