Type,Indicator,Name
Filename,%SystemDrive%\ProgramData\EventManager.dll,
Filename,%SystemDrive%\ProgramData\EventManager.logs,
Filename,%SystemDrive%\ProgramData\WindowsDefenderService.ini,
Filename,%SystemDrive%\ProgramData\Defender.sct,
Filename,%SystemDrive%\ProgramData\DefenderService.inf,
Filename,%SystemDrive%\ProgramData\WindowsDefender.ini,
Filename,%SystemDrive%\ProgramData\ZIPSDK\InstallConfNT.vbs,
Filename,%SystemDrive%\ProgramData\ZIPSDK\ProjectConfManagerNT.ini,
Filename,%SystemDrive%\ProgramData\WindowsDefenderTask.ini,
Filename,%SystemDrive%\ProgramData\WindowsDefenderTask.txt,
Filename,%SystemDrive%\ProgramData\WindowsDefenderTask.xml,
Filename,%SystemDrive%\ProgramData\DefenderNT\ConfigRegister.vbs,
Filename,%SystemDrive%\ProgramData\DefenderNT\SetupConf.ini,
Filename,%SystemDrive%\ProgramData\ASDKiMalwareSDK\ProjectConfSDK.vbs,
Filename,%SystemDrive%\ProgramData\ASDKiMalwareSDK\SetupConfSDK.ini,
Filename,%SystemDrive%\ProgramData\FirefoxSDK\ConfigRegisterSDK.ini,
Filename,%SystemDrive%\ProgramData\FirefoxSDK\ConfigRegisterSDK.vbs,
Filename,%SystemDrive%\ProgramData\OneDrive.dll,
Filename,%SystemDrive%\ProgramData\OneDrive.html,
Filename,%SystemDrive%\ProgramData\OneDrive.ini,
Filename,%SystemDrive%\ProgramData\WindowsNT\WindowsNT.ini,
Filename,%SystemDrive%\ProgramData\WindowsNT\WindowsNT.vbs,
Filename,%SystemDrive%\ProgramData\SYSTEM32SDK\ConfManagerNT.vbs,
Filename,%SystemDrive%\ProgramData\SYSTEM32SDK\ProjectConfManagerNT.ini,
Filename,%windir%\System32\Tasks\Microsoft\WindowsDefenderUpdater,
Filename,%windir%\System32\Tasks\Microsoft\MicrosoftOneDrive,
Filename,%windir%\System32\Tasks\Microsoft\WindowsDifenderUpdate,
Filename,%windir%\System32\Tasks\Microsoft\WindowsSystem32SDK,
Filename,%windir%\System32\Tasks\Microsoft\WindowsDefenderSDK,
Filename,%windir%\System32\Tasks\Microsoft\WindowsMalwareDefenderSDK,
Filename,%windir%\System32\Tasks\Microsoft\WindowsMalwareByteSDK,
IP,66[.]219[.]22[.]235,
IP,83[.]171[.]238[.]62,
IP,185[.]185[.]25[.]175,
IP,185[.]244[.]14[.]218,
IP,104[.]237[.]233[.]60,
IP,104[.]237[.]255[.]212,
IP,104[.]237[.]233[.]40,
IP,5[.]9[.]0[.]155,
IP,103[.]13[.]67[.]4,
IP,80[.]80[.]163[.]182,
IP,80[.]90[.]87[.]201,
IP,91[.]187[.]114[.]210,
IP,78[.]129[.]139[.]131,
IP,192[.]168[.]1[.]104:54863,
IP,163[.]172[.]147[.]222:4555,
MD5,08acd1149b09bf6455c553f512b51085,
MD5,a9ec30226c83ba6d7abb8d2011cdae14,
MD5,E5683fb480353c0dec333a7573710748,
MD5,159238b473f80272fdcd0a8ddf336a91,
MD5,16ac1a2c1e1c3b49e1a3a48fb71cc74f,
MD5,1b086ab28e3d6f73c6605f9ae087ad4a,
MD5,23c82e8c028af5c64cbe37314732ec19,
MD5,24e1bd221ba3813ed7b6056136237587,
MD5,2e82e242cb0684b98a8f6f2c0e8a12f3,
MD5,37f7e6e5f073508e1ee552ebea5d200e,
MD5,3bb14adb551663fd2328d59f653ba757,
MD5,3c2a0d6d0ecf06f1be9ad411d06f7ba8,
MD5,4c5a5c236c9f4480b3d725f297673fad,
MD5,4f873578956d2790101443f24e4bd4d3,
MD5,5466c8a099d1d30096775b1f4357d3cf,
MD5,59502e209aedf80e170e653306ca1553,
MD5,5a42a712e3b3cfa1db32d9e3d832f8f1,
MD5,5bd61a94e7698574eaf82ef277316463,
MD5,5de97ae178888f2dd222bb8a66060ac2,
MD5,665947cf7037a6772687b69279753cdf,
MD5,7a2ff07283ddc69d9f34cfa0d3c936d4,
MD5,7beb94f602e97785370fec2d059d54a5,
MD5,801f34abbf90ac2b4fb4b6289830cd16,
MD5,864d6321be50f29e7a7a4bfab746245a,
MD5,8a36d91ca331f62642dbcafc2ea1b1ab,
MD5,9486593e4fb5a4d440093d54a3519187,
MD5,94edf251b5fe7cc19488b5f0c3c3e359,
MD5,9c6648cedeb3f5d9f6d104e638bd0c3d,
MD5,9f4044674100a8c28f9ed1b336c337ce,
