Type,Indicator,Name
Domain,owa-insss-org-ill-owa-authen[.]ml,
Domain,webmaiil-tau-ac-il[.]ml,
Domain,mail-macroadvisorypartners[.]ml,
Domain,webmail-tidhar-co-il[.]ml,
Domain,my-mailcoil[.]ml,
Domain,logn-micrsftonine-con[.]ml,
Domain,so-cc-hujii-ac-il[.]ml,
Domain,cdnmsnupdate[.]com,
Domain,msoffice-cdn[.]com,
Domain,office365-management[.]com,
Domain,ntpupdateserver[.]com,
Domain,cdnakamaiplanet[.]com,
Domain,msoffice365update[.]com,
Domain,adpolioe[.]com,
Domain,Microsoft-publisher[.]com,
Domain,prosalar[.]com,
Domain,www.msoffice365cdn[.]com,
Domain,office365-technical[.]info,
Domain,rdppath[.]com,
Domain,cpuproc[.]com,
Domain,acrobatverify[.]com,
Domain,defender-update[.]com,
Domain,windowspatch[.]com,
Domain,withyourface[.]com,
Domain,Myleftheart[.]com,
Filename,HTTPParser.dll,
Filename,TrafficHandler.dll,
Filename,iishandler6.dll,
Filename,Office365DCOMCheck.ps1,
Filename,Office365DCOMCheck.vbs,
Filename,SystemDiskClean.ps1,
Filename,SystemDiskClean.vbs,
Filename,AdobeAcrobatLicenseVerify.ps1,
IP,80.82.79[.]221,
IP,80.82.79[.]240,
IP,185.162.235[.]29,
IP,185.36.191[.]31,
IP,185.161.209[.]57,
IP,185.161.210[.]25,
IP,164.132.67[.]216,
IP,212.32.226[.]245,
IP,142.234.157[.]21,
IP,193.111.152[.]13,
IP,185.162.235[.]106,
IP,185.162.235[.]121,
SHA256,2fc7810a316863a5a5076bf3078ac6fad246bc8773a5fb835e0993609e5bb62e,ALMA
SHA256,f37b1bbf5a07759f10e0298b861b354cee13f325bc76fbddfaacd1ea7505e111,ALMA dash
SHA256,e52b8b0e8225befec156b355b3022faf5617542b82aa54f9f42088aa05a4ec49,ALMA dot
SHA256,7cbad6b3f505a199d6766a86b41ed23786bbb99dab9cae6c18936afdc2512f00,BONDUPDATER Dropper Docs
SHA256,c0018a2e36c7ef8aa15b81001a19c4127ad7cd21ae410c1f854e5dadfa98b322,BONDUPDATER Dropper Docs
SHA256,d5c1822a36f2e7107d0d4c005c26978d00bcb34a587bd9ccf11ae7761ec73fb7,BONDUPDATER Dropper Docs
SHA256,de620a0511d14a2fbc9b225ebfda550973d956ab4dec7e460a42e9d2d3cf0588,BONDUPDATER Original
SHA256,d5c1822a36f2e7107d0d4c005c26978d00bcb34a587bd9ccf11ae7761ec73fb7,BONDUPDATER Updated
SHA256,7cbad6b3f505a199d6766a86b41ed23786bbb99dab9cae6c18936afdc2512f00,BONDUPDATER Updated
SHA256,f37b1bbf5a07759f10e0298b861b354cee13f325bc76fbddfaacd1ea7505e111,Clayslide
SHA256,3eb14b6705179590f0476d3d3cbd71665e7c1935ecac3df7b876edc9bd7641b6,Clayslide
SHA256,5ac939a5426db8614165bd8b6a02d3e8d9f167379c6ed28025bf3b37f1aea902,Clayslide
SHA256,66358a295b8b551819e053f2ee072678605a5f2419c1c486e454ab476c40ed6a,CVE-2017-0199 Doc
SHA256,f92ab374edd488d85f2e113b40ea8cb8baf993f5c93c12455613ad3265f42b17,CVE-2017-0199 Doc
