Type,Indicator,Name
Filename,ntertmgr32.exe,
Filename,ntertmgr64.exe,
Filename,vdsk911.sys,
Filename,dcT21x400i.pnf,
Filename,vsfnp7_6.pnf,
Filename,caiaw00e.exe,
Filename,sbuvideo.exe,
Filename,caiaw00i.exe,
Filename,olvume.exe,
Filename,usinwb2.exe,
Filename,briaw005.exe,
Filename,fpwwlwf.exe,
Filename,epiaw003.exe,
Filename,briaw002.exe,
Filename,olvsnap.exe,
Filename,dmwaudio.exe,
Filename,briaw006.exe,
Filename,miWApRpl.exe,
Filename,caiaw00b.exe,
Filename,lxiaw003.exe,
Filename,pdwmtphw.exe,
Filename,caiaw00a.exe,
Filename,sdwprint.exe,
Filename,caiaw00d.exe,
Filename,kyiaw002.exe,
Filename,sdwscdrv.exe,
Filename,briaw00a.exe,
Filename,saiaw002.exe,
Filename,_mvscdsc.exe,
Filename,hdvmp32.exe,
Filename,_s3wcap32.exe,
Filename,hpiaw001.exe,
Filename,lxiaw004.exe,
Filename,cniaw001.exe,
Filename,lxiaw006.exe,
Filename,caiaw00f.exe,
Filename,newtvsc.exe,
Service Name,NtertSrv,
Service Name,vdsk911,
SHA256,c3ab58b3154e5f5101ba74fccfd27a9ab445e41262cdf47e8cc3be7416a5904f,Disttrack
SHA256,0694bdf9f08e4f4a09d13b7b5a68c0148ceb3fcc79442f4db2aa19dd23681afe,Disttrack
SHA256,391e7b90bf3f0bfeb2c2602cc65aa6be4dd1c01374b89c4a48425f2d22fe231c,Disttrack
SHA256,ccb1209122085bed5bded3f923835a65d3cc1071f7e4ad52bc5cf42057dd2150,Disttrack Comms module x64
SHA256,772ceedbc2cacf7b16ae967de310350e42aa47e5cef19f4423220d41501d86a5,Disttrack Comms module x64
SHA256,0694bdf9f08e4f4a09d13b7b5a68c0148ceb3fcc79442f4db2aa19dd23681afe,Disttrack Comms module x86
SHA256,61c1c8fc8b268127751ac565ed4abd6bdab8d2d0f2ff6074291b2d54b0228842,Disttrack Comms module x86
SHA256,0975eb436fb4adb9077c8e99ea6d34746807bc83a228b17d321d14dfbbe80b03,Disttrack Dropper x64
SHA256,47bb36cd2832a18b5ae951cf5a7d44fba6d8f5dca0a372392d40f51d1fe1ac34,Disttrack Dropper x64
SHA256,c3ab58b3154e5f5101ba74fccfd27a9ab445e41262cdf47e8cc3be7416a5904f,Disttrack Dropper x86
SHA256,394a7ebad5dfc13d6c75945a61063470dc3b68f7a207613b79ef000e1990909b,Disttrack Dropper x86
SHA256,dab3308ab60d0d8acb3611bf364e81b63cfb6b4c1783864ebc515297e2297589,Disttrack Wiper module x64
SHA256,c7fc1f9c2bed748b50a599ee2fa609eb7c9ddaeb9cd16633ba0d10cf66891d8a,Disttrack Wiper module x64
SHA256,391e7b90bf3f0bfeb2c2602cc65aa6be4dd1c01374b89c4a48425f2d22fe231c,Disttrack Wiper module x86
SHA256,128fa5815c6fee68463b18051c1a1ccdf28c599ce321691686b1efa4838a2acd,Disttrack Wiper module x86
SHA256,bc4513e1ea20e11d00cfc6ce899836e4f18e4b5f5beee52e0ea9942adb78fc70,ElDos RawDisk Driver x64
SHA256,5a826b4fa10891cf63aae832fc645ce680a483b915c608ca26cedbb173b1b80a,ElDos RawDisk Driver x64
SHA256,6985ef5809d0789eeff623cd2436534b818fd2843f09fa2de2b4a6e2c0e1a879,ElDos RawDisk Driver x86
SHA256,4744df6ac02ff0a3f9ad0bf47b15854bbebb73c936dd02f7c79293a2828406f6,ElDos RawDisk Driver x86
SHA256,d9e52663715902e9ec51a7dd2fea5241c9714976e9541c02df66d1a42a3a7d2a,Loader
SHA256,35ceb84403efa728950d2cc8acb571c61d3a90decaf8b1f2979eaf13811c146b,Spreader
SHA256,5203628a89e0a7d9f27757b347118250f5aa6d0685d156e375b6945c8c05eb8a,SuperDelete
SHA256,0266be9130bdf20976fc5490f9191edaafdae09ebe45e74cd97792412454bf0d,SuperDelete
SHA256,e5bf756d5530ec38ff649b901b3c7506f8556821d979bdcb392237f2ff40daf8,SuperDelete
SHA256,5257f623270b4c5cc471ff35b1bfeec80ab37c7e012da76b50ebd2c4911a43d0,SuperDelete
SHA256,4919436d87d224f083c77228b48dadfc153ee7ad48dd7d22f0ba0d5090b5cf9b,
SHA256,5475f35363e2f4b70d4367554f1691f3f849fb68570be1a580f33f98e7e4df4a,
SHA256,01a461ad68d11b5b5096f45eb54df9ba62c5af413fa9eb544eacb598373a26bc,
SHA256,c7f937375e8b21dca10ea125e644133de3afc7766a8ca4fc8376470277832d95,
SHA256,010d4517c81bcdc438cb36fdf612274498d08db19bba174462ecbede7d9ce6bb,
SHA256,efd2f4c3fe4e9f2c9ac680a9c670cca378cef6b8776f2362ed278317bfb1fca8,
SHA256,113525c6bea55fa2a2c6cf406184092d743f9d099535923a12cdd9b9192009c4,
SHA256,5a826b4fa10891cf63aae832fc645ce680a483b915c608ca26cedbb173b1b80a,
