First Seen,SHA256,Domain/IP,Port,Backup DNS,File Name,Startup Name,Folder Name,Data Directory Name,Backup Startup Exe,Mutex,Build ID,Enable Client Installation/Startup,Client Persistence Module: Protect Luminosity's Client Binary,Silent Mode (Hide Luminosity Window on Client PC),Proactive Anti-Malware: Clean Malicious Files and Speed up Client PC,Power Saver: Prevent Sleep Mode and Turn off Monitor after 15 minutes of inactivity,Remove File after Execution (Melt),Anti-Virtual Machines/Debugging,Hide File and Directories,Backup Startup
2016-04-11,00461d5d1a6ace0398b5e470b75e3de3e58bc6a352ae504f1abd51dec16ae803,kalebcurry.freedns.su,60210,Disabled,syssettings.exe,System Settings,System Settings,System Settings,systemsettings.exe,702cd9878d8f7d270650b78c71e520a66b07c8d8ff0d1abae049c1168fbbd6ec,HOME,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2016-02-14,00626146c2592c5ea341dd06361dfe0a2d3a33b55ff5c4c54be069ce331f678f,88.91.166.93,20001,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,7c52a91f88d4c105714738454fad75e29d8e3b7f,HOME,No,Yes,No,Yes,Yes,No,No,No,No
2015-10-02,0078b8dce431b00c5ece55e5db666157b60f4ae4726879dd9d1555a22b342a66,appleassist.mooo.com,2202,Disabled,conhost.exe,Console Windows Host,N/A,N/A,N/A,e973bdb568e05f6c10c9542df834ebb19ef7acc3,FEMoff,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-16,00adfb1d0533a400926d0677b172ec7a8223cfe033fcfcd355f1f1261a8e236c,gdoc.duckdns.org,6318,gdoc.duckdns.org,client.exe,Client Monitor,Client,Monitor,clientmonitor.exe,d878fca982983b121c6dea1b057300136db29e3ce44e3fd34ab5338fd1a2321f,HOME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2015-09-28,00b6c662e3f470d326359ffb6c3125fb07ba09147ddf9ade0f4471231bd2636b,tae.fishdns.com,6969,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,9eded00cd05bb0e77eebd4cb0cee01b102956726,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-25,00bc79c499ea965fabf01432dc139214744d26c214b9726b45c5ce173d3d1aab,example.no-ip.org,6318,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,a2704a57ba7e4a4ab2afd0c604e7a56f201d48c4,Service86,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-03-27,025a84a5b87192b73800e56fc60d44f4204d879ddde9a2cb1471241d9f347a06,www.lab-project.in,6666,Disabled,Disabled,Disabled,N/A,N/A,N/A,27ffe2756b93a9624f6f41a27a72644f8ea407a4,Hand,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-06,034f1252945cf7db1f2a9c98ebb3c5a97d3042782ebdbca94a72e7158520a33e,95.140.125.85,2909,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,9d48765517e7000cc5cbee9650bcf0c81553f2a3,ebuk1,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-17,0356771364d715201c293d737d88af5aa0681782eeff23d322ce36852294d280,teacher.duckdns.org,6318,cjonson.chickenkiller.com,svchost.exe,Client Monitor,Windows Defender,Monitor,MSASCuii.exe,ddc8738fa41f346b38db04da481b07b6e6692480974006989b88a2d4738028e5,TorrentSpread,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2016-05-23,035af290cd3cd0cbc7332fd4e0adb8810ed6578d77902a7b63ae6844028dbee4,185.22.174.100,443,127.0.0.1,NeverVac.exe,system monitor secure,windows framework,Monitor,clientmonitor.exe,baca5d9e57f63ccca620337baa2432f7e0ca381e9560ea1da55889ba41b17913,HOME,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2015-10-08,035cebef6669c40e1b3d0b82d731e5c065ca5be9b873e71f9bd9a172a0aa7bd7,sabadu.fishdns.com,23205,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,7d15415d4cb06c90c6de4105b73d21a30c9d3f4b,YT,No,Yes,Yes,No,Yes,No,No,No,No
2016-01-27,03991c2e0171938d95b7c6683b34492e045145b1dc1cbc1969ed5660288da4e9,testducktest.duckdns.org,9655,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,f865b53623b121fd34ee5426c792e5c33af8c227,HOME,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-20,03ac554ae343a3cceea079c2d4b50270cc8b9a6df571bb1167d5c0d9385e4266,sherback.ddns.net,2222,Disabled,win32.exe,Windows,Windows,Windows,windows32.exe,14be4e2513a0b8ea6370047c6c0afa4095bbccbe3d49e300ccc551d0454575dd,www.camshot.xyz,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
2016-03-14,03e80d4783109a57e1b6ae04ea39848569db25de06b17a36d9cecc68432549d6,ns01.d-n-s.name,1410,abw.serveftp.com,repair.exe,Mechanic,N/A,N/A,N/A,c20be4b830f5a1130178a8e9050c3e8fdf334631,14032016Torrent,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-04-11,04590c9e7a1e7839a2ebe5080bec3864d8e69be16e8ba2a5ca712a71d8d8029c,DUJANA.djaoke.ga,42115,Disabled,helper.exe,Computer Helper,N/A,N/A,N/A,8964bfbb60167c283ebd67fe5dffbd1f5a1a1a52,slip104,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-02-03,046fd29b454d7b5de9607003e4968101406d7957184f57e29524c5f697997056,subzero.gk29xlac58ro.info,1672,Disabled,syscore32.exe,SysCore32,N/A,N/A,N/A,0e775ad16f54983767013dfe1613fdb6d661f5a8,DANKNET,No,Yes,Yes,Yes,Yes,No,No,No,No
2015-10-05,04fc0787d797efe5c87b506278206cd0adb3a5bba547e73d22467c84d004ae42,easyfucker.duckdns.org,1704,Disabled,sysmon.exe,System Monitor,N/A,N/A,N/A,a985bd4e0a20a9a17be4866b3a546ee67574033a,NARUTO,No,Yes,Yes,Yes,Yes,No,No,No,No
2016-05-03,053e47b7e2601d8c63241863649e0b807c3eccbe3faa16e5efe14601edcbd388,connectioncheck.freedns.su,40714,lum.sammytheseal.xyz,spoolsv.exe,Microsoft Corporation,Microsoft,Microsoft,setspn.exe,79a2efa3a8583977eabff3e1d9cd3f8a3422a43b0552a2f4b2c7f90fd8c6c6b8,739,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2016-04-19,056160312049fcc2633f9c29173045db5ecc8a6d8258cd622a76a1e95caf9fa2,AudioAdapter.fagdns.com,2122,Disabled,repair.exe,Mechanic,N/A,N/A,N/A,47fa08765bf4a72b8c965e87572abba09b09f7dc,OFFICE,No,Yes,Yes,No,Yes,No,No,No,No
