SHA256,Compile Time,Embedded RSA Key?,Web URI,BTC Price At This Time,BTC Per Host,BTC For All,BTC For Half,BTC Wallet,Money Received,Name,Version,PDB,File Extension,Encrypted File Format,HELP File,AES Encrypted Strings?,Salt,Key,Installation Directory,Total Sum,606.5565291,Current Rate,744.43,Total,451538.877
45e00fe90c8aa8578fce2b305840e368d62578c77e352974da6b8f8bc895d75b,12/9/15 23:02,Yes,https://testtttttttttttttttttttttttttttttttttttttt,411.9,50000000000,N/A,N/A,bittttttttttttttttttttttttttttttttttttttttttttt,N/A,samsam,1.0.0.0,f:\SAM\clients\test\enc\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
6bc2aa391b8ef260e79b99409e44011874630c2631e4487e82b76e5cb0a49307,12/10/15 0:43,Yes,https://www.anonyme.com/Blog/paulcensy,412.8,N/A,37,N/A,1Gmjyb9wd6Ju9phn5tREmLYwPsPFusqEx6,0,samsam,1.0.0.0,f:\SAM\clients\Sam3\enc\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
939efdc272e8636fd63c1b58c2eec94cf10299cd2de30c329bd5378b6bbbd1c8,12/10/15 15:31,Yes,https://www.anonyme.com/Blog/pikasoart,412.8,N/A,50,N/A,1FpZFUGqAkyjAGVgHXhaHrSmThJHxd2a7v,0,samsam,1.0.0.0,f:\SAM\clients\Sam4\enc\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
acac1c163d3c18125272948966624e915fde749f813811bd0f1d113193d202a9,12/16/15 22:32,Yes,https://www.anonyme.com/Blog/pikasoart,446.34,N/A,50,N/A,1FpZFUGqAkyjAGVgHXhaHrSmThJHxd2a7v,Duplicate,samsam,10.9.8.7,f:\SAM\clients\Sam4\enc\endpoint symantec\SAM\obj\Release\samsam.pdb,.encryptedRSA,N/A,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,%APPDATA%/SystemAccountManager,,,,,,
7aa585e6fd0a895c295c4bea2ddb071eed1e5775f437602b577a54eef7f61044,1/1/16 19:00,No,http://union83939k.wordpress.com,429.5,1,N/A,N/A,19CbDoaZDLTzkkT1uQrMPM42AUvfQN4Kds,1.99992909,samsam,8.2.8.8,f:\SAM\clients\Sam6\SAM\obj\Release\samsam.pdb,.encryptedRSA,N/A,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
0f2c5c39494f15b7ee637ad5b6b5d00a3e2f407b4f27d140cd5a821ff08acfac,1/6/16 0:14,No,http://union83939k.wordpress.com,428.85,1,N/A,N/A,19CbDoaZDLTzkkT1uQrMPM42AUvfQN4Kds,Duplicate,samsam,8.2.8.8,f:\SAM\clients\Sam12\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
de5f8d5ce7b5d86bf0207bfe085535352690fc17a156e46950891ef906f2742e,1/6/16 0:14,No,http://union83939k.wordpress.com,428.85,1,N/A,N/A,19CbDoaZDLTzkkT1uQrMPM42AUvfQN4Kds,Duplicate,samsam,8.2.8.8,f:\SAM\clients\Sam12\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
036071786d7db553e2415ec2e71f3967baf51bdc31d0a640aa4afb87d3ce3050,1/6/16 0:20,No,https://keytwocode.wordpress.com,428.85,1,N/A,N/A,1FESb2caoXp27gEgVhyoCGHSkGhGwkzJbF,0,samsam,8.2.8.8,f:\SAM\clients\Sam14\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
58ef87523184d5df3ed1568397cea65b3f44df06c73eadeb5d90faebe4390e3e,1/6/16 0:22,No,https://payforsecure7.wordpress.com,428.85,1,N/A,N/A,1JnxLRQSHkCw5aEhu5VQptUq4XmxntAvL2,9.9999,samsam,8.2.8.8,f:\SAM\clients\Sam15\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
a763ed678a52f77a7b75d55010124a8fccf1628eb4f7a815c6d635034227177e,1/14/16 20:34,No,https://key88secu7.wordpress.com,430,1,N/A,N/A,1KVvqPi5QivfH3SKFpFWbeRwjdKREPYoAv,0,samsam,8.2.8.8,f:\SAM\clients\Sam19\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
ffef0f1c2df157e9c2ee65a12d5b7b0f1301c4da22e7e7f3eac6b03c6487a626,1/14/16 20:46,No,https://evilsecure9.wordpress.com,430,1.5,N/A,N/A,175wjzT5M7XvYYW447ry4TQmHUfzTrBUcN,0,samsam,8.2.8.8,f:\SAM\clients\Sam22\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
e682ac6b874e0a6cfc5ff88798315b2cb822d165a7e6f72a5eb74e6da451e155,2/3/16 21:01,No,https://lordsecure4u.wordpress.com,369.09,1.5,22,N/A,1Cn4YXWmjARbK459hGQz54g3KTQLB7XYZs,0,samsam,8.2.8.8,f:\SAM\clients\Sam34\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,N/A,,,,,,
946dd4c4f3c78e7e4819a712c7fd6497722a3d616d33e3306a556a9dc99656f4,2/5/16 20:51,No,https://secangel7d.wordpress.com,388.42,1.5,22,N/A,1KwgwwWdoL9VFcg9VuCDGBiVZ2LNzGnrov,40,samsam,8.2.8.8,d:\SAM\clients\Sam35\SAM\obj\Release\samsam.pdb,.encryptedRSA,<MtAeSKeYForFile>,HELP_DECRYPT_YOUR_FILES.html,No,N/A,N/A,%APPDATA%/FontCachedManager,,,,,,
